category,subcategory,name,description,url,price,image
kitchen-dining,chair,BIRCHWOOD dining chair,"A simple dining chair with clean lines that works well around any table. The solid oak frame is sturdy and the beige fabric seat is comfortable for long meals. Easy to move around when you need to rearrange.

The fabric has a stain-resistant treatment so spills are easy to clean. Tapered oak legs give it a classic look that fits with both modern and traditional styles.

Good to know: Can support up to 110 kg. Easy to assemble with included hardware.

Size: W45×D51×H82 cm, seat height 45 cm.

Care: Vacuum regularly. Spot clean with mild soap and water.",/images/BJORKSTA_dining_chair.jpeg,49.99,/images/BJORKSTA_dining_chair.jpeg
living-room,table,LEAFBROOK coffee table,"A smart coffee table with hidden storage for all your living room essentials. The two drawers keep remotes, magazines and other items organized and out of sight.

The wood-effect top has a durable finish that resists water marks and scratches. Black metal legs give it an industrial look that's both modern and timeless.

Good to know: Drawers have soft-closing mechanism. Can also work as a TV bench or side table. Max load 70 kg.

Size: L122×W61×H46 cm.

Care: Wipe clean with a damp cloth. Dry immediately.",/images/LEAFBROOK_coffee_table.jpeg,79.99,/images/LEAFBROOK_coffee_table.jpeg
living-room,sofa,FRIHETEN corner sofa-bed,"A comfortable corner sofa that becomes a spacious double bed when you need extra sleeping space. The chaise longue section has storage under the seat for bedding, pillows or other items.

Green velvet fabric is soft and has a luxurious feel. The fabric is treated to resist stains and pet hair. High-resilience foam cushions give comfortable support and keep their shape over time.

Good to know: Easy to convert to bed. Storage space under chaise. Wooden legs included. Assembly required.

Size: L280×W190×H89 cm, seat depth 61 cm.

Care: Vacuum regularly. Blot spills immediately with a clean cloth.",/images/FRIHETEN_corner_sofa_bed.jpeg,499.99,/images/FRIHETEN_corner_sofa_bed.jpeg
bedroom,bed,MALM bed frame with nightstands,"A practical bed frame with built-in nightstands that saves space and creates a coordinated look. No need to buy separate bedside tables - everything matches perfectly.

Solid acacia wood with walnut stain. The slatted bed base is included, so you don't need a box spring. Nightstand drawers have soft-closing mechanism and built-in USB ports for charging devices.

Good to know: Suitable for mattresses 20-26 cm thick. Max load 450 kg. Assembly required.

Size Queen: L213×W163×H91 cm. Also available in King size.

Care: Wipe clean with a damp cloth.",/images/MALM_bed_frame_with_nightstands.jpeg,249.99,/images/MALM_bed_frame_with_nightstands.jpeg
office,storage,BILLY bookcase,"A tall, narrow bookcase that fits in small spaces but holds a lot. Perfect for books, but also works great for displaying your favorite things.

Adjustable shelves let you customize the space for books of different sizes. Dark brown wood-effect finish goes with many styles. Surface is durable and easy to clean.

Good to know: Can be used as room divider. Must be secured to wall with included safety fitting. Max load per shelf 30 kg.

Size: H183×W61×D30 cm.

Care: Wipe clean with a damp cloth.",/images/BILLY _bookcase.jpeg,59.99,/images/BILLY _bookcase.jpeg
office,desk,BEKANT desk with storage,"A spacious desk with smart storage and cable management. Great for home office or workspace. The built-in drawers keep your supplies organized.

Dark brown wood-effect surface is durable and easy to clean. Cable management helps keep cords tidy. Three drawers include one for hanging files. Adjustable feet help level the desk on uneven floors.

Good to know: Assembly can be difficult. It requires special tools. Max load 50 kg. File drawer fits A4 hanging folders. Cable outlets keep cords organized.

Size: L152×W61×H76 cm.

Care: Wipe clean with a damp cloth.",/images/BEKANT_desk_with_storage.jpeg,149.99,/images/BEKANT_desk_with_storage.jpeg
living-room,cabinet,HEMNES TV bench,"A classic TV bench with retro styling and practical storage. Two cabinets hide your media equipment while open shelves display your favorite things.

Walnut and white finish gives it a timeless mid-century look. Solid wood legs and durable construction. Cable outlets in the back keep cords organized. Adjustable shelves adapt to your equipment.

Good to know: Suitable for TVs up to 65 inches. Max load 50 kg. Cable management included.

Size: L147×W41×H61 cm.

Care: Wipe clean with a damp cloth.",/images/HEMNES_TV_bench.jpeg,119.99,/images/HEMNES_TV_bench.jpeg
office,chair,MARKUS office chair,"A comfortable office chair with mesh back and built-in lumbar support. Keeps you cool and supports good posture during long work sessions.

Height adjustable with tilt function and tension control. Padded seat with waterfall edge reduces pressure on legs. Adjustable armrests adapt to your sitting position.

Good to know: Max load 110 kg. Easy to assemble. Tested for office use.

Seat size: W51×D51 cm, height adjustable 102-114 cm.

Care: Wipe with a damp cloth. Vacuum mesh fabric regularly.",/images/MARKUS_office_chair.jpeg,129.99,/images/MARKUS_office_chair.jpeg
living-room,floor-lamp,FOTO floor lamp,"A simple floor lamp with white marble base and linen shade. The heavy base makes it stable and the soft light is perfect for reading or relaxing.

White marble base with natural veining - each lamp is unique. Brass-colored metal pole. White linen shade gives soft, even light. Cord switch makes it easy to turn on and off.

Good to know: Uses E26 bulb, max 60W (bulb not included). Stable base won't tip easily.

Size: H147 cm, shade ⌀41 cm.

Care: Wipe with dry cloth. Clean marble with damp cloth when needed.",/images/FOTO_floor_lamp.jpeg,69.99,/images/FOTO_floor_lamp.jpeg
kitchen-dining,pendant-lamp,FOTA pendant lamp,"A pendant lamp with industrial style and vintage Edison bulb. Black metal cage protects the bulb while letting the light through. Great for kitchen islands or dining areas.

Black metal with aged finish. Includes vintage-style LED bulb that looks like old Edison bulbs but uses less energy. Cord length adjustable up to 150 cm.

Good to know: Professional installation recommended. Can be used with dimmer. Ceiling attachment included.

Size: H30 cm, ⌀25 cm.

Care: Wipe with dry cloth. Replace bulb when needed.",/images/FOTO_pendant_lamp.jpeg,29.99,/images/FOTO_pendant_lamp.jpeg
office,table-lamp,RAPIDS work lamp,"A flexible work lamp that you can adjust to direct light exactly where you need it. Perfect for reading, working, or crafts.

Brass-colored base with adjustable arm and shade. Black metal shade with white inside reflects light well. Built-in dimmer on cord lets you adjust brightness. LED bulb included.

Good to know: Adjustable arm and shade. Stable weighted base. Energy-efficient LED bulb lasts up to 25,000 hours.

Size: H56 cm, shade ⌀20 cm.

Care: Wipe with dry cloth. Clean brass with metal cleaner if needed.",/images/FORSA_work_lamp.jpeg,39.99,/images/FORSA_work_lamp.jpeg
home-decor,vase,STOCKHOLM vase set,"A set of three ceramic vases in different sizes. Perfect for flowers or just as decoration. The textured surface and white color work with any style.

Three vases: large (30 cm), medium (23 cm), and small (15 cm) high. Each has a slightly different texture that's nice to touch. Matte white glaze is easy to clean.

Good to know: Handmade, so each vase is unique. Wide opening fits different flower arrangements. Stable base won't tip over easily.

Size: Set of 3 vases, heights 15/23/30 cm.

Care: Hand wash with mild soap. Dry thoroughly.",/images/STOCKHOLM_vase_set.jpeg,24.99,/images/STOCKHOLM_vase_set.jpeg
home-decor,artwork,GALLERY picture set,"A set of three abstract pictures that look great together or separately. Navy, gold and white colors work with many room styles.

Each picture is 40×51 cm and printed on canvas for a textured look. Ready to hang with included mounting hardware. The modern abstract design fits contemporary and traditional homes.

Good to know: Fade-resistant inks keep colors bright. Can hang together as a group or in different rooms.

Size: 3 pictures, each 40×51 cm.

Care: Dust with dry cloth. Avoid direct sunlight.",/images/PJATTERYD_picture_set.jpeg,59.99,/images/PJATTERYD_picture_set.jpeg
home-decor,candles,LUGGA scented candle set,"A set of three scented candles with relaxing fragrances. Made from plant-based wax that burns cleanly. The glass containers can be reused when the candles are finished.

Three different scents: Sandalwood & Vanilla (warm and cozy), Eucalyptus & Mint (fresh and clean), Fig & Cashmere (sweet and sophisticated). Burns for about 50 hours each.

Good to know: Natural soy wax burns cleaner than regular candles. Lead-free cotton wicks. Glass containers are reusable.

Size: 3 candles, each H10 cm, ⌀8.5 cm.

Care: Trim wick to 6 mm before lighting. Don't burn for more than 4 hours at a time.",/images/LUGGA_scented_candle_set.jpeg,19.99,/images/LUGGA_scented_candle_set.jpeg
outdoor,table,APPLEWOOD table and 6 chairs,"A complete outdoor dining set for 6 people. Made from solid teak that's naturally weather-resistant. The wood will develop a nice silver-gray color over time, or you can treat it to keep the original color.

Table size 183×92 cm with slatted top that lets rainwater drain through. Chairs are stackable for easy storage. All hardware is stainless steel so it won't rust.

Good to know: Teak is naturally resistant to weather and insects. Pre-drilled holes make assembly easier. Can be left outside year-round.

Size: Table L183×W92×H72 cm, chairs stackable.

Care: Clean with mild soap and water. Oil once a year to maintain color, or let it weather naturally.",/images/APPLARO_table_and_6_chairs.jpeg,399.99,/images/APPLARO_table_and_6_chairs.jpeg
outdoor,lighting,SOLVINDEN solar-powered lighting,"A set of 8 solar-powered lights for pathways and gardens. No wiring needed - they charge during the day and light up automatically at dusk.

Bronze-colored metal with LED lights that shine for up to 8 hours after a full day of charging. Motion sensor makes them brighter when someone walks by. Easy to install - just push into the ground.

Good to know: Weather-resistant design works in all seasons. Rechargeable batteries included. LED bulbs last for years.

Size: 8 lights, each H35 cm.

Care: Clean solar panels occasionally for best charging. Replace batteries when needed (about every 2-3 years).",/images/SOLVINDEN_solar_powered_lighting.jpeg,49.99,/images/SOLVINDEN_solar_powered_lighting.jpeg
